director_id,director_name,role,tenure_years,Finance and audit,Risk management,Legal and compliance,Digital and data,People and culture,Strategy,Sector or operational expertise,Estates and assets,Stakeholder and communications,Governance practice
D01,Eleanor Vance-Prichard,Chair,6.5,3,4,3,2,4,5,3,2,5,5
D02,Gareth Pomeroy,Vice Chair and Chair of Finance and Audit,4.0,5,4,3,2,2,4,2,3,3,4
D03,Dr Amara Nwachukwu,Trustee and Chair of Clinical Governance,3.2,2,4,4,3,3,3,5,1,3,3
D04,Hilary Batchford,Trustee,8.9,2,2,2,1,4,2,3,2,4,3
D05,Idris Bahri,Trustee and Chair of People Committee,2.1,2,3,4,3,5,3,2,2,3,3
D06,Rosalind Cheatle,Trustee,1.4,3,3,2,5,2,4,2,1,3,2
D07,Terence Oduya,Trustee,5.7,4,3,2,2,2,3,2,5,2,2
D08,Josephine Ferrand-Clark,Trustee,0.8,2,2,5,2,3,2,2,2,4,4
D09,Malcolm Whitbourne,Trustee,9.6,3,2,2,1,3,2,4,4,3,2
D10,Saoirse Delahunty,Trustee,2.9,2,4,3,4,3,4,3,2,5,3
